cliente,fecha,nombre_categoria,nombre_competencia, precio_competencia,vida_util,fecha_inventario,historial_compras,precio,nombre_tipo,cantidad_disponible,cantidad_comprada,tipo_promocion,fecha_inicio,fecha_fin
Cliente 67,15/04/2020,Yogurt,Pairumani,45.4,26,09/04/2020,834,41,Agencia,97,47.75,Sin Descuento,30/04/2021,18/05/2021
Cliente 68,10/09/2020,Yogurt Griego,Nestle,22.2,14,22/07/2020,304,23.3,Online,94,89.77,2x1,10/10/2022,17/10/2022
Cliente 69,10/09/2021,Yogurt,Delizia,27.1,25,31/08/2021,386,25.3,Online,162,28.6,2x1,21/07/2022,14/08/2022
Cliente 70,11/05/2019,Yogurt,Pairumani,68.2,27,25/03/2019,9,65.9,Agencia,348,82.26,Descuento Porcentual,22/09/2022,02/10/2022
Cliente 71,11/10/2021,Gelatina,Nestle,44.6,144,10/09/2021,420,48.1,Online,35,40.44,2x1,04/09/2021,22/12/2021
Cliente 72,15/06/2022,Leche,Nestle,81.7,1,06/06/2022,103,80.3,Supermercado,53,38.15,Sin Descuento,05/03/2019,12/09/2022
Cliente 73,14/09/2020,Crema de Lecha,Delizia,44.7,5,05/08/2020,78,48.8,Online,42,25.08,2x1,14/12/2018,25/11/2022
Cliente 74,10/07/2022,Mantequilla,Delizia,53.8,11,31/05/2022,23,56.6,Online,0,41.42,2x1,12/01/2021,21/02/2022
Cliente 75,11/05/2020,Leche,Delizia,38.9,1,10/05/2020,166,36.2,Supermercado,207,26.68,Sin Descuento,17/09/2019,26/03/2022
Cliente 76,03/08/2019,Crema de Lecha,Delizia,64,5,16/06/2019,203,65.1,Agencia,348,89.68,Sin Descuento,06/06/2019,19/02/2021
Cliente 77,25/06/2021,Yogurt,Delizia,35.5,27,12/06/2021,54,34.8,Online,541,74.07,Descuento Porcentual,27/07/2018,11/08/2018
Cliente 78,02/07/2022,Leche,Pairumani,50.9,22,26/05/2022,869,54.7,Online,59,97.61,Descuento Porcentual,17/02/2019,19/03/2019
Cliente 79,09/10/2020,Mantequilla,Nestle,20.2,12,19/09/2020,84,15.6,Online,34,40.9,Sin Descuento,07/06/2018,04/07/2019
Cliente 80,13/07/2019,Queso,Pairumani,100,29,08/06/2019,150,100.7,Agencia,47,28.23,Sin Descuento,13/05/2018,07/11/2020
Cliente 81,10/03/2020,Helado,Pairumani,95.3,28,20/02/2020,36,98.7,Supermercado,33,62.77,Descuento Porcentual,12/01/2018,24/07/2018
Cliente 82,02/04/2019,Mermelada,Pairumani,77.7,40,17/02/2019,279,80.9,Supermercado,426,10.55,Descuento Porcentual,08/11/2021,13/10/2022
Cliente 83,09/06/2020,Crema de Lecha,Pairumani,65.2,6,18/04/2020,108,61.6,Agencia,228,63.42,2x1,27/10/2020,25/12/2020
Cliente 84,03/10/2021,Yogurt,Delizia,80.7,27,01/09/2021,362,83.9,Agencia,254,61.49,2x1,07/10/2019,27/04/2021
Cliente 85,17/08/2020,Gelatina,Delizia,43.8,135,21/07/2020,320,43.8,Supermercado,23,44.92,Sin Descuento,11/08/2022,29/10/2022
Cliente 86,05/01/2022,Leche,Delizia,49.1,2,19/12/2021,499,48.1,Online,500,39.56,Descuento Porcentual,10/08/2020,24/04/2021
Cliente 87,18/10/2022,Queso,Pairumani,63.1,59,28/08/2022,206,64.2,Online,5,81.94,Sin Descuento,19/10/2019,22/10/2019
Cliente 88,15/05/2022,Yogurt,Pairumani,76.6,28,20/04/2022,490,81.4,Supermercado,14,73.82,Sin Descuento,18/10/2021,10/11/2021
Cliente 89,25/08/2021,Mermelada,Nestle,13.7,39,08/07/2021,18,8.8,Supermercado,517,32.01,Descuento Porcentual,26/05/2018,29/11/2020
Cliente 90,11/03/2019,Gelatina,Delizia,16.4,85,18/02/2019,458,12.9,Agencia,271,52.59,Descuento Porcentual,15/06/2020,18/02/2021
Cliente 91,01/11/2020,Mantequilla,Delizia,86.3,13,19/10/2020,140,81.5,Online,9,25.63,Descuento Porcentual,17/06/2018,30/12/2021
Cliente 92,06/09/2019,Jugo,Nestle,43.2,11,13/08/2019,230,42.8,Supermercado,444,99.99,2x1,09/05/2020,14/01/2021
Cliente 93,16/09/2020,Queso,Purita,28.9,30,01/09/2020,465,29.8,Online,162,27.19,2x1,18/06/2018,03/09/2018
Cliente 94,25/10/2019,Crema de Lecha,Nestle,46,7,30/08/2019,581,49.4,Agencia,284,51.12,Descuento Porcentual,14/11/2022,11/12/2022
Cliente 95,10/11/2019,Mantequilla,Nestle,52.5,13,01/10/2019,556,53.8,Supermercado,26,21.15,Descuento Porcentual,20/09/2019,21/07/2020
Cliente 96,23/11/2022,Leche,Delizia,78.7,29,20/11/2022,163,75.8,Supermercado,117,39.3,Descuento Porcentual,04/04/2018,17/02/2020
Cliente 97,06/05/2020,Yogurt Griego,Delizia,67.3,12,07/04/2020,135,67.9,Supermercado,196,82.87,Descuento Porcentual,10/11/2022,29/11/2022
Cliente 98,23/11/2019,Leche,Delizia,29.5,28,28/10/2019,159,34,Agencia,70,28.29,2x1,04/04/2021,07/10/2022
Cliente 99,22/07/2022,Queso,Purita,75.8,44,09/06/2022,3,77.9,Online,35,72.22,Sin Descuento,18/07/2020,20/11/2021
Cliente 100,05/07/2021,Crema de Lecha,Pairumani,26.9,7,01/07/2021,158,25.7,Supermercado,84,58.3,Descuento Porcentual,06/09/2021,02/11/2022
Cliente 101,18/10/2022,Queso,Norland,25.4,82,04/09/2022,674,27.1,Online,224,70.14,Sin Descuento,08/04/2022,29/04/2022
Cliente 102,27/02/2020,Yogurt Griego,Pairumani,99,16,08/01/2020,597,103.5,Supermercado,51,84.53,2x1,29/01/2022,19/06/2022
Cliente 103,16/11/2019,Gelatina,Delizia,35.1,147,05/10/2019,296,36.2,Agencia,7,87.43,2x1,20/06/2019,12/07/2019
Cliente 104,13/11/2022,Mermelada,Nestle,95.7,28,23/09/2022,281,96.4,Supermercado,334,46.01,2x1,10/03/2019,19/03/2019
Cliente 105,21/04/2022,Leche,Nestle,27.2,1,05/03/2022,50,27,Agencia,55,79.2,Sin Descuento,27/10/2021,09/11/2021
Cliente 106,21/04/2022,Yogurt,Pairumani,82.3,24,31/03/2022,552,78.4,Supermercado,376,15.44,Descuento Porcentual,02/03/2022,13/03/2022
Cliente 107,16/06/2020,Yogurt,Delizia,98.7,23,11/06/2020,7,99.7,Online,855,14.71,2x1,29/05/2022,08/06/2022
Cliente 108,21/08/2021,Leche,Delizia,21.6,2,13/07/2021,129,22.4,Online,775,97.75,Sin Descuento,01/09/2021,22/09/2021
Cliente 109,09/01/2019,Jugo,Delizia,61.3,7,08/12/2018,779,60.2,Agencia,190,32.08,Descuento Porcentual,28/06/2018,25/02/2021
Cliente 110,13/08/2022,Queso,Pairumani,27.8,74,24/07/2022,39,23.9,Agencia,176,89.31,Sin Descuento,23/02/2018,27/05/2022
Cliente 111,05/06/2019,Mantequilla,Delizia,85.3,12,03/06/2019,104,81.2,Online,290,68.67,2x1,25/04/2020,15/05/2020
Cliente 112,26/01/2019,Leche,Delizia,48.9,28,11/12/2018,84,45.2,Online,2,32.22,Sin Descuento,18/07/2021,09/08/2021
Cliente 113,09/06/2021,Queso,Pairumani,64.9,39,12/04/2021,36,63.9,Online,412,67.42,2x1,12/07/2021,04/08/2021
Cliente 114,19/12/2022,Mantequilla,Delizia,80.7,14,09/12/2022,263,81.8,Supermercado,696,17.87,Descuento Porcentual,17/10/2021,04/01/2022
Cliente 115,18/11/2020,Helado,Pairumani,38.4,24,01/11/2020,459,36.7,Supermercado,491,41.25,2x1,20/02/2018,01/06/2021
Cliente 116,27/12/2019,Helado,Delizia,76.1,29,08/12/2019,275,73.3,Online,386,54.28,Sin Descuento,24/11/2019,20/12/2019
Cliente 117,11/05/2022,Mantequilla,Delizia,46.2,8,17/04/2022,313,41.5,Agencia,369,24.91,Sin Descuento,04/11/2018,03/10/2019
Cliente 118,04/04/2021,Leche,Delizia,73.5,23,21/03/2021,131,75.5,Online,531,61.61,Sin Descuento,31/01/2020,24/11/2022
Cliente 119,18/07/2020,Mantequilla,Nestle,67.9,13,19/05/2020,9,65.1,Online,32,44.27,2x1,06/09/2019,15/11/2020
Cliente 120,11/11/2021,Crema de Lecha,Delizia,34.9,7,01/11/2021,187,34,Online,221,11.06,2x1,26/06/2018,05/07/2020
Cliente 121,13/03/2019,Crema de Lecha,Nestle,58.8,5,19/02/2019,332,62.3,Supermercado,244,65.34,Sin Descuento,12/03/2021,05/05/2021
Cliente 122,01/03/2022,Leche,Delizia,51.6,27,25/02/2022,22,51.8,Online,37,30.77,2x1,20/05/2022,26/05/2022
Cliente 123,19/11/2019,Mermelada,Nestle,19.2,33,26/10/2019,554,15.5,Supermercado,217,30.82,Sin Descuento,08/05/2021,12/05/2021
Cliente 124,21/08/2020,Mantequilla,Delizia,20.4,10,28/07/2020,463,16.5,Supermercado,370,51.4,Descuento Porcentual,24/07/2018,03/05/2021
Cliente 125,02/03/2021,Crema de Lecha,Delizia,91.3,7,05/01/2021,358,91.3,Online,162,26.62,Descuento Porcentual,22/05/2022,17/06/2022
Cliente 126,03/09/2022,Queso,Purita,85.2,81,08/08/2022,137,87.7,Agencia,115,31.94,2x1,21/07/2019,23/10/2022
Cliente 127,10/06/2021,Jugo,Pairumani,59.4,7,15/04/2021,217,64.2,Supermercado,354,59.8,Descuento Porcentual,05/07/2018,06/06/2020
Cliente 128,18/11/2019,Yogurt Griego,Pairumani,16.9,13,25/09/2019,127,12.7,Agencia,206,82.77,Sin Descuento,14/09/2020,04/10/2020
Cliente 129,09/05/2022,Queso,Pairumani,76.6,50,20/03/2022,467,79.6,Online,74,73.6,Descuento Porcentual,15/12/2020,18/10/2021
Cliente 130,02/03/2021,Jugo,Delizia,49.8,8,07/02/2021,148,51.8,Agencia,226,81.19,2x1,15/05/2022,30/05/2022
Cliente 131,12/04/2022,Queso,Purita,19.1,55,18/02/2022,505,14.6,Online,451,17.15,Descuento Porcentual,20/05/2020,10/12/2022
Cliente 132,17/05/2022,Leche,Pairumani,93.7,1,03/05/2022,480,98.2,Online,91,12.33,Descuento Porcentual,01/11/2022,06/11/2022
Cliente 133,05/01/2022,Leche,Delizia,14.6,21,02/01/2022,190,16.3,Agencia,44,33.15,Descuento Porcentual,29/11/2019,02/12/2019
Cliente 134,21/06/2019,Leche,Nestle,94.8,1,30/05/2019,48,90.1,Agencia,14,60.09,Descuento Porcentual,01/08/2020,23/08/2020
Cliente 135,20/02/2020,Helado,Delizia,89.8,25,28/01/2020,180,87.3,Supermercado,69,20.13,Sin Descuento,01/05/2020,01/07/2020
Cliente 136,19/02/2019,Mermelada,ILVA,51.1,32,15/01/2019,350,51,Agencia,1,56.15,2x1,15/06/2021,03/02/2022
Cliente 137,04/07/2022,Helado,Pairumani,60.5,23,27/05/2022,148,61.4,Online,505,85.4,Sin Descuento,28/03/2019,26/04/2019
Cliente 138,28/10/2020,Gelatina,Delizia,81.5,92,10/09/2020,62,78.9,Agencia,244,92.23,Sin Descuento,06/10/2020,21/08/2021
Cliente 139,06/04/2019,Mermelada,Nestle,30.8,40,26/03/2019,328,27.2,Agencia,4,72.73,Sin Descuento,05/03/2019,19/05/2020
Cliente 140,18/12/2019,Leche,Pairumani,32.7,1,21/11/2019,73,32.7,Online,240,37.04,Descuento Porcentual,02/12/2019,24/05/2022
Cliente 141,24/02/2019,Crema de Lecha,Pairumani,42.7,6,13/02/2019,167,41,Agencia,321,97.56,2x1,17/09/2021,16/10/2021
Cliente 142,21/07/2021,Gelatina,Delizia,86.9,68,25/05/2021,76,89.1,Online,17,54.14,2x1,11/04/2022,30/04/2022
Cliente 143,16/06/2020,Mermelada,Pairumani,53.3,34,01/05/2020,637,51.3,Agencia,264,84.76,Descuento Porcentual,07/03/2019,16/07/2022
Cliente 144,23/10/2019,Gelatina,Delizia,52.6,62,29/08/2019,37,53.7,Online,14,20.21,Sin Descuento,13/08/2020,26/11/2021
Cliente 145,07/10/2022,Queso,Pairumani,31.3,59,26/08/2022,222,34,Agencia,32,67.02,2x1,25/12/2021,11/01/2022
Cliente 146,03/01/2021,Mermelada,Pairumani,57.6,31,02/12/2020,74,52.9,Online,576,71.8,Descuento Porcentual,11/10/2019,20/11/2020
Cliente 147,26/09/2019,Yogurt,Delizia,69.1,25,31/07/2019,286,65.3,Online,79,40.27,Descuento Porcentual,27/02/2021,19/03/2021
Cliente 148,21/11/2022,Leche,Delizia,75.8,2,18/11/2022,329,71.8,Agencia,119,83.63,2x1,21/06/2021,22/12/2022
Cliente 149,01/09/2022,Gelatina,Pairumani,60.8,86,06/08/2022,127,60.5,Supermercado,219,88.7,2x1,20/07/2020,07/08/2020
Cliente 150,06/02/2022,Crema de Lecha,Delizia,82.4,6,22/12/2021,25,81.5,Agencia,95,41.61,Descuento Porcentual,30/07/2018,28/05/2022
Cliente 151,15/06/2022,Gelatina,Nestle,35.9,63,20/04/2022,15,31.9,Online,323,91.88,2x1,18/01/2018,24/04/2021
Cliente 152,15/03/2020,Yogurt,Pairumani,36.9,23,29/02/2020,578,33.4,Supermercado,149,44,2x1,01/12/2019,30/06/2021
Cliente 153,26/01/2022,Yogurt,Pairumani,48.5,30,24/12/2021,69,51.5,Supermercado,468,24.87,Sin Descuento,25/09/2018,21/06/2019
Cliente 154,13/07/2020,Mantequilla,Delizia,42,8,24/06/2020,150,46,Agencia,21,23.42,2x1,28/08/2021,11/09/2021
Cliente 155,22/11/2022,Queso,Pairumani,31.8,63,08/10/2022,27,28.5,Supermercado,324,45.13,2x1,17/02/2022,07/03/2022
Cliente 156,26/01/2022,Leche,Delizia,37.3,22,28/12/2021,280,40.1,Online,553,22.61,Descuento Porcentual,05/07/2020,22/07/2020
Cliente 157,13/02/2022,Jugo,Nestle,61.7,14,25/12/2021,14,57.4,Supermercado,150,49.92,2x1,11/08/2020,07/04/2022
Cliente 158,15/11/2021,Mantequilla,Delizia,48.5,14,02/11/2021,568,43.8,Agencia,380,37.89,Descuento Porcentual,11/12/2022,30/12/2022
Cliente 159,19/10/2020,Jugo,Delizia,91.1,7,06/09/2020,237,90.1,Supermercado,35,12.45,2x1,09/04/2019,19/06/2020
Cliente 160,12/08/2021,Crema de Lecha,Nestle,82.2,5,27/07/2021,171,84.4,Supermercado,141,95.91,Sin Descuento,24/02/2018,10/06/2018
Cliente 161,20/09/2022,Yogurt Griego,Nestle,19.1,12,12/09/2022,91,17.2,Supermercado,182,60.21,Sin Descuento,24/09/2019,15/04/2020
Cliente 162,25/08/2021,Yogurt,Pairumani,31.5,28,09/07/2021,476,32.9,Agencia,44,36.81,Sin Descuento,23/04/2021,01/05/2021
Cliente 163,21/06/2022,Yogurt,Delizia,43.7,26,16/06/2022,351,39.3,Online,250,77.07,Sin Descuento,26/11/2022,05/12/2022
Cliente 164,23/11/2020,Jugo,Pairumani,24.6,11,02/10/2020,284,22.2,Agencia,20,55.72,Descuento Porcentual,03/11/2019,08/04/2021
Cliente 165,28/12/2022,Mermelada,Delizia,69,36,16/12/2022,246,65.6,Online,741,98.97,Descuento Porcentual,27/11/2019,21/12/2019
Cliente 166,27/03/2022,Mantequilla,Pairumani,86.3,9,15/02/2022,35,88.2,Agencia,41,63.78,2x1,09/10/2021,05/08/2022
Cliente 167,10/08/2019,Leche,Delizia,76.7,1,21/06/2019,297,75.1,Supermercado,216,86.13,Sin Descuento,28/02/2018,02/06/2018
Cliente 168,06/11/2020,Jugo,Nestle,35.2,13,21/09/2020,522,39.5,Supermercado,31,95.82,Sin Descuento,20/10/2022,28/10/2022
Cliente 169,06/05/2021,Mantequilla,Pairumani,57.5,12,18/04/2021,267,60.6,Supermercado,534,89.01,Sin Descuento,28/09/2022,24/10/2022
Cliente 170,02/07/2022,Queso,Pairumani,45.7,52,03/06/2022,402,42.6,Agencia,214,32.57,2x1,15/03/2018,24/02/2022
Cliente 171,13/02/2022,Gelatina,Delizia,23.4,135,05/02/2022,219,27.1,Agencia,632,40.78,2x1,20/11/2019,05/07/2020
Cliente 172,18/05/2019,Yogurt,Pairumani,34.4,29,30/03/2019,277,31,Online,22,16.92,Sin Descuento,13/07/2019,02/06/2021
Cliente 173,06/12/2021,Queso,Norland,29.7,68,06/11/2021,195,32,Agencia,314,96.59,Sin Descuento,20/03/2022,15/04/2022
Cliente 174,17/09/2019,Queso,Norland,31.4,49,29/07/2019,280,31.2,Supermercado,193,56.66,2x1,25/01/2019,10/09/2022
Cliente 175,12/08/2020,Crema de Lecha,Nestle,93.3,6,11/08/2020,805,91.1,Supermercado,28,43.02,Descuento Porcentual,02/02/2019,31/03/2019
Cliente 176,14/05/2021,Crema de Lecha,Delizia,80.6,7,07/05/2021,153,84.1,Online,656,93.75,Sin Descuento,19/03/2021,05/02/2022
Cliente 177,11/02/2019,Gelatina,Delizia,75.6,122,10/01/2019,22,74.7,Agencia,92,30.44,2x1,05/03/2021,23/03/2021
Cliente 178,18/09/2019,Mermelada,Pairumani,53.4,35,06/08/2019,128,52.6,Agencia,12,92.03,2x1,25/11/2020,04/12/2020
Cliente 179,15/09/2022,Yogurt,Delizia,49,26,17/07/2022,435,49.5,Online,155,22.19,Sin Descuento,06/03/2020,07/03/2020
Cliente 180,27/01/2019,Gelatina,Delizia,59.6,106,03/01/2019,726,60.5,Supermercado,66,63.91,Descuento Porcentual,13/02/2021,19/02/2021
Cliente 181,22/08/2021,Queso,Delizia,99.2,26,25/06/2021,631,100.5,Agencia,26,26.28,Sin Descuento,12/03/2022,02/04/2022
Cliente 182,01/05/2020,Yogurt,Pairumani,21.3,26,30/03/2020,104,24.8,Online,135,57.51,2x1,07/06/2019,22/08/2020
Cliente 183,16/09/2020,Gelatina,Nestle,32.6,125,23/08/2020,637,36.4,Supermercado,131,53.81,Descuento Porcentual,21/02/2022,12/03/2022
